,id
0,1178755329187831808
1,1178745116758020097
2,1179044724709167104
3,1178805608331526145
4,1178969946157703168
5,1178723734926086148
6,1178756273124335624
7,1179051044128600064
8,1179061482966962177
9,1179050498428682240
10,1178901140685148161
11,1177679699369050112
12,1179048439319072768
13,1151389038781390848
14,1178962636278382592
15,1179083422712700928
16,1178978139906744320
17,1178947486712549376
18,1178650857430274049
19,1178761892468273152
20,1178988128050319360
21,1178606452795162624
22,1178766691272216578
23,1178915758023286784
24,1179009751004434432
25,1179019548957261825
26,1179030876195377152
27,1178988193435148289
28,1177243366628765697
29,1179085421986373632
30,1178773881861152770
31,1179008293265694720
32,1178961065918500864
33,1178831428064350208
34,1176535734972538881
35,1179157438420918272
36,1179396754665549829
37,1179429715867787264
38,1179361605177561090
39,1179725614045159424
40,1179422987684077568
41,1179174026171863041
42,1176288623550853120
43,1179105059277291520
44,1179443469405872130
45,1179282671979175941
46,1179023352742236160
47,1179361292303392770
48,1179382108281823233
49,1085652231288844289
50,1096856815810342912
51,1179714040882487296
52,1096521317279584256
53,1178984443366608908
54,1179442056105779200
55,1179382591314681857
56,1179411261337067520
57,1179333407760949249
58,1178659272143425538
59,1167733324762271749
60,1179179573541511176
61,1179118101755039744
62,1179369692206682113
63,1096522865711693826
64,1179023001989373952
65,1176285799433822209
66,1179806405211152384
67,1062258325239156736
68,1179382421869010946
69,977045714902466562
70,1179746754058739712
71,1180047925365399553
72,1179081260943196161
73,1180095268873789441
74,1180763275010727937
75,1179942727296933889
76,1180763743136952325
77,1180426732500914176
78,1180047962703052800
79,1180071232466755585
80,1180775281067462658
81,1179868522324910080
82,1180053340442501120
83,1180949561222807553
84,1180810781270532096
85,1180054629008191488
86,1180628602100097025
87,1180763964575289345
88,1180788169291239424
89,1179877314454282240
90,1180019854616780800
91,1180441185724354560
92,1180380153882578944
93,1180733889876234240
94,1179586054564786177
95,1180135760785219586
96,1141236546714112000
97,1180025881017950208
98,1180458968457633792
99,1180271642263658497
100,1179074719049494528
101,1174398340399865857
102,1180856682878033921
103,1179556773750927360
104,1179538061664952320
105,1180499079878631425
106,1180436101854629889
107,1180399380387520512
108,1180195222212562946
109,1179242248191512577
110,1180055807427264512
111,1180497374575243265
112,1180482432019177472
113,1127681433965875200
114,1157655214410702848
115,1180066303857614848
116,1180785657817583617
117,1179890058905686017
118,1180053781381287936
119,1179699937623379969
120,1179795485504221187
121,1179841494494171136
122,1181000808399114240
123,1179933213021626368
124,1178477539653771264
125,1179422987684077568
126,1178289966675304448
127,1179783410820292608
128,1177574932689182720
129,1180966726227386368
130,1105463106535415808
131,1179778155340603392
132,1180479243261743106
133,1165822705037217792
134,1181030464661999616
135,1171750622556827653
136,1128620091640373248
137,1179738267350163458
138,1179937355794452482
139,1180148038649700358
140,1180214540375474176
141,1180826504952983553
142,1180330287957495809
143,1179931107111907333
144,1177676723594227712
145,1180487139546546182
146,1179885763133153282
147,1116721849923178496
148,1085661164422361090
149,1179660469759438849
150,1117501803006955520
151,1173106496844029953
152,1178179963041800193
153,1178421420977803265
154,1180837064759271424
155,1179193225325826050
156,1173354860563128320
157,1179755855610339330
158,1180559858699030529
159,1180079141087055872
160,1178749523360915462
161,1180053781381287936
162,1180783878690263041
163,1180000492707024897
164,1177796393349603328
165,1179115344180330496
166,1180081715835998210
167,1180452265917915137
168,1180507984386035712
169,1180511775806181383
170,1180530811575111680
171,1180571023508492290
172,1180689608952221697
173,1180814477240999937
174,1180839023692144640
175,1180839570839101443
176,1180840144296988672
177,1180954142396710912
178,1180955815362121729
179,1181019904583098368
180,1181030466247417861
181,1181033210832195585
182,1181033358794661889
183,1181033360241709056
184,1181092258298437632
185,1181195866423595009
186,1181206239302311936
187,1181208441551015938
188,1181209855232806912
189,1181211612839055361
190,1181212982128328705
191,1181213624343367681
192,1181218712763977728
193,1181220168502001665
194,1181222911891427328
195,1181232291508625408
196,1181266674944602113
197,1181282880393289728
198,1181286496357142530
199,1181288490299875328
200,1181288509325402113
201,1181395164499070976
202,1181468216612311041
203,1181468495734853632
204,1181474317458124800
205,1181519363783974912
206,1181524619959963648
207,1181542920828182528
208,1181545924436381696
209,1181549009900453890
210,1181556058659135488
211,1181562563487617026
212,1181570298967134210
213,1181578966798422020
214,1181578968077651968
215,1181593350971035648
216,1181604882857549826
217,1181622920566714369
218,1181637167749193729
219,1181646714731675648
220,1181661276222742534
221,1181669483431301120
222,1181675983801376774
223,1181676896691609601
224,1181676970825965576
225,1181677218893836289
226,1181686501085765633
227,1181687463657562117
228,1181687995763712000
229,1181701836136488961
230,1181816171227701248
231,1181836695001387008
232,1181854444318842880
233,1181864136155828224
234,1181869289458094081
235,1181871176789966848
236,1181871914081509376
237,1181874324829028352
238,1181880830521724933
239,1181881337785044993
240,1181932051425107969
241,1181932374994628608
242,1181932379490967553
243,1181935053611454465
244,1181950193236754432
245,1181969555960352776
246,1182005931317583872
247,1182007927193784320
248,1182035070468669448
249,1182066106954944512
250,1182100155417251840
251,1182109367384059904
252,1182188668871696385
253,1182189612900343808
254,1182235555465179136
255,1182235811678490624
256,1182244037165760513
257,1182275323167215616
258,1182281834970980352
259,1182347849306165250
260,1181814824789041152
261,1179125146738741248
262,1181213640189530112
263,1180064036509175808
264,1178505148131360768
265,1182147895371472896
266,1182039169884921856
267,1182041929896333314
268,1182171803852181504
269,1182037846573666305
270,1181562229910593536
271,1180432149763297281
272,1182198197915131906
273,1181718168177299456
274,1182024736932601856
275,1182050611392585728
276,1182112396837625857
277,1181212691203084289
278,1180195905313677314
279,1180530903015141376
280,1181232249821388801
281,1181560708808486914
282,1180604548596916224
283,1181214824958701569
284,1175105751846510592
285,1182227696107036674
286,1181111461306867713
287,1181894361153462272
288,1182058849118904321
289,1150600554353008641
290,1150620373643341825
291,1158420443243659264
292,1167644607196401665
293,1169381695340077056
294,1175764155359465478
295,1178737569611337728
296,1178787857231691778
297,1178875416569876480
298,1178887020892098560
299,1179094207740313600
300,1179122044887285764
301,1179139874710052865
302,1179237061901082625
303,1179410031978127361
304,1179886049469878278
305,1180055858702499841
306,1180318241417236481
307,1180330287957495809
308,1180343023789436929
309,1180426732500914176
310,1180441185724354560
311,1180475870860980224
312,1180549625565995008
313,1180656258686148608
314,1181000674965721088
315,1181000808399114240
316,1181047092875157504
317,1181047749678161920
318,1181048427058208768
319,1181085818493927425
320,1181085835942232064
321,1181097379304476672
322,1181140315635376128
323,1181181496784228352
324,1181181561045172224
325,1181191552380686337
326,1181191973367160834
327,1181199607281393664
328,1181202599107629056
329,1181203256774664192
330,1181204804586090497
331,1181207974053912577
332,1181214083900510208
333,1181219542778953728
334,1181222913988542465
335,1181230956944007168
336,1181236607023812610
337,1181248537528557569
338,1181269371282477057
339,1181269592016076805
340,1181281583078223872
341,1181295557530263553
342,1181299742980132870
343,1181311858684432384
344,1181323210358480901
345,1181330499664596992
346,1181348866744098816
347,1181362695360131072
348,1181547163064700929
349,1181556058659135488
350,1181556990906118144
351,1181556992227323905
352,1181557775236775936
353,1181583946116677633
354,1181627203160805376
355,1181637167749193729
356,1181672743504351232
357,1181685021926662144
358,1181685229687394307
359,1181688681234681861
360,1181697799160766464
361,1181714248977833984
362,1181757804639592449
363,1181773196791386112
364,1181864136155828224
365,1181929050060840961
366,1181947129973137409
367,1181952511533617155
368,1181966585025716224
369,1181968653362835457
370,1181974924333912066
371,1181980782417633280
372,1181984950947471361
373,1181998759665782785
374,1182003566417993729
375,1182036268202381313
376,1182097445775392768
377,1182253915246600194
378,1182254616890793984
379,1182306489823891457
380,1182317999145005057
381,1182324421417193472
382,1182333132755865601
383,1182336160611201024
384,1182365167637745667
385,1182718840808992768
386,23257004857
387,751130449183854592
388,969525362580484098
389,1182281836363485185
390,1128261067422019584
391,1178986524630802432
392,1181226623699505153
393,1182281834970980352
394,1181213916740894720
395,1181991604493656064
396,1181553630354259968
397,1181782923231531008
398,1161719408202584064
399,1181232249821388801
400,1149661694735474688
401,1181542327711600642
402,1181547333990916097
403,1181560708808486914
404,1181577775246905344
405,1181172462291243008
406,1181172457811697664
407,1181314387048615936
408,1182040239986167809
409,1181172465772482563
410,1181750525596983296
411,1181190806469779457
412,1182035099224657920
413,1167439383932391425
414,1027899286586109955
415,1139532198594469889
416,1021132108381683712
417,1063835700611686408
418,1086293263626186755
419,1134009911392833536
420,1141496415287304193
421,1166711517536030720
422,1168966646318411780
423,1173265866131234821
424,1178014032370049024
425,1179660122110529536
426,1179740913771405313
427,1181150972317491201
428,1181163505422098432
429,1181175790471467008
430,1181207065072676864
431,1181222240525996032
432,1181227885841002496
433,1181254767542190081
434,1181268750055682048
435,1181273539799736320
436,1181547287014789120
437,1181585598940946434
438,1181620310946304003
439,1181653150559850501
440,1181669928451092481
441,1181815894906986496
442,1181878723508760577
443,1181891356274413570
444,1181926324170035201
445,1181969965626228736
446,1181971636456693762
447,1182030910671204353
448,1182034455764094976
449,1182104046213185537
450,1182288206806560769
451,1182340048383074306
452,1182341345953890305
453,1182345051172724736
454,1182379256145498113
455,1182387198164946944
456,1182396421795975176
457,1182414451364061186
458,1182417148477616128
459,1182424146514468864
460,1182427941030023168
461,1182432584149749761
462,1182442044150681600
463,1182448726595592192
464,1182484599781416960
465,1182586216451133441
466,1182587035871338496
467,1182591514196742144
468,1182598083034734592
469,1182605570261553152
470,1182623374637457409
471,1182629138382905349
472,1182631145386713088
473,1182653052035186692
474,1182661778498637829
475,1182666390924345344
476,1182683905515773953
477,1182694261554339841
478,1182755942657601536
479,1182755986622369792
480,1182760003423424512
481,1182775730427572224
482,1182804700699086848
483,1182876223439036417
484,1182904527030226944
485,1182919267941044224
486,1182923021109084160
487,1182934782684123136
488,1182965154973138944
489,1183004387813347329
490,1183019880867680256
491,1183028261103775746
492,1183037520503885824
493,1183071664256507904
494,1183105148329123840
495,1183110692225847297
496,1183122268362293250
497,1183129930961436672
498,1183221158478524417
499,1183306559050452993
500,1183309798319775751
501,1183311509902053379
502,1183320304598294529
503,1183344922881150976
504,1183366057169444864
505,1183369133301391365
506,1183376270731763714
507,1183387030530805761
508,1183448674833178626
509,1183473839306616834
